FIPS,State,County,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,# Chlamydia Cases,Chlamydia Rate,Teen Birth Rate,# Uninsured,% Uninsured,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,# Dentists,Dentist Rate,Dentist Ratio,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Preventable Hospitalization Rate,% With Annual Mammogram,% Vaccinated,# Completed High School,Population,% Completed High School,# Some College,Population.1,% Some College,# Unemployed,Labor Force,% Unemployed,% Children in Poverty,Income Ratio,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,# Associations,Social Association Rate,Annual Average Violent Crimes,Violent Crime Rate,# Injury Deaths,Injury Death Rate,Average Daily PM2.5,% Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,% Drive Alone to Work,# Workers who Drive Alone,% Long Commute - Drives Alone,Water_Violation
01001,Alabama,Autauga,787.0,7830.0534837,19.839178869,4.501498764,4.8502135182,9.2017738359,19.810765873,33.0,6.7,30.6,69.130124059,14.473886311,19.0,57.0,33.333333333,280.0,504.5,23.764040651,4693.0,10.047314222,26.0,46.76175,2139:1,19.0,34.00813,2940:1,16.0,28.63842,3492:1,6650.0,39.0,42.0,33076,37367,88.516605561,8689,14362,60.499930372,714.0,26172.0,2.7281063732,15.9,5.0904084014,3267.0,13205.0,24.74062855,68,12.229995863,148.5,272.28222006,190.0,68.410042594,10.4,13.630966516,12.032598274,1.116124436,1.5435763477,85.788512279,24635,38.3,0
01003,Alabama,Baldwin,3147.0,7680.4772697,16.460675293,3.6479777573,4.7682935308,8.2920092901,18.513318262,30.0,7.8,24.7,73.713548953,18.73695763,53.0,179.0,29.608938547,632.0,297.2,26.006904488,22660.0,13.168982571,153.0,70.1764,1425:1,110.0,49.27565,2029:1,220.0,98.5513,1015:1,3471.0,43.0,46.0,137219,151112,90.806157023,33404,49776,67.108646737,2653.0,97328.0,2.7258342923,13.5,4.3851346284,10321.0,46133.0,22.372271476,229,10.503527167,408.0,203.66039629,777.0,72.878640649,7.2,12.996650686,11.987507476,1.0179286793,0.3349313719,83.760105646,93141,40.4,0
01005,Alabama,Barbour,515.0,11476.629416,29.841499915,5.5692666827,5.5904935124,11.355311355,25.53076754,41.2,5.5,28.0,53.166769858,12.466973719,13.0,33.0,39.393939394,191.0,755.8,37.114261885,2310.0,13.504033672,8.0,32.15305,3110:1,9.0,36.45791,2743:1,3.0,12.15264,8229:1,5314.0,44.0,39.0,13152,17964,73.213092852,2379,6680,35.613772455,324.0,8537.0,3.795244231,41.0,5.9819927971,2707.0,5307.0,51.008102506,19,7.6363490213,105.5,414.27786068,98.0,76.988946587,9.4,13.710554951,12.594259989,1.9586507073,0.6528835691,82.11638926,8231,30.9,0
01007,Alabama,Bibb,476.0,12172.562382,23.853283551,4.8943765041,5.2711142294,10.220994475,23.084812535,37.4,7.6,33.4,16.251363736,15.420603275,8.0,27.0,29.62962963,139.0,613.2,37.786445636,1764.0,10.599050652,12.0,53.57142999999999,1867:1,5.0,22.32741,4479:1,6.0,26.79289,3732:1,6690.0,33.0,40.0,12782,16168,79.057397328,2483,6186,40.139023602,266.0,8685.0,3.062751871,25.9,5.0026083348,1404.0,4586.0,30.614914959,19,8.4821428571,19.5,89.349125982,119.0,105.60130626,10.0,9.255242227,8.2637362637,0.5639913232,0.5639913232,87.057671115,8167,52.0,0
01009,Alabama,Blount,1100.0,11096.050649,21.985609556,4.9866219497,5.3578091017,7.4305405988,22.95495894,33.0,7.9,33.3,15.634485887,15.833283796,15.0,82.0,18.292682927,176.0,303.4,31.23977756,6642.0,14.115996855,12.0,20.74689,4820:1,11.0,19.02258,5257:1,10.0,17.29326,5783:1,4440.0,37.0,40.0,32028,39791,80.490563193,7862,14102,55.750957311,676.0,25331.0,2.6686668509,21.0,4.4278379129,3003.0,13372.0,22.457373617,45,7.7800829876,279.0,482.69061089,311.0,107.59160855,10.6,10.125664572,7.4688589935,1.8124697922,1.159980667,87.519594283,21690,57.9,0
01011,Alabama,Bullock,189.0,10801.612789,31.444931886,5.5134424871,5.3948002615,15.427927928,24.905712949,46.6,5.0,42.4,2.5013743815,11.745531457,12.0,22.0,54.545454545,126.0,1222.2,45.50209205,815.0,11.873543124,3.0,29.59164,3379:1,2.0,19.80002,5051:1,3.0,29.70003,3367:1,5645.0,32.0,29.0,5303,7101,74.679622588,854,2655,32.165725047,175.0,4818.0,3.6322125363,39.9,5.6306486443,1561.0,2119.0,73.666823974,8,7.8911027816,33.0,311.0273327,51.0,98.82571794,9.2,20.29972752,18.846694796,0.1089918256,1.7711171662,80.944663116,4319,47.3,0
01013,Alabama,Butler,398.0,12847.757829,27.886720948,5.3876104505,5.7180745884,12.308634415,22.826806546,46.8,6.8,40.3,48.57974889,12.556232752,16.0,52.0,30.769230769,185.0,933.2,36.930455635,1838.0,11.901832545,5.0,25.4065,3936:1,6.0,30.8515,3241:1,11.0,56.56109,1768:1,8070.0,39.0,35.0,11753,13819,85.049569433,1962,4868,40.304026294,338.0,9263.0,3.648925834,34.6,5.0108316284,1841.0,4455.0,41.324354658,19,9.6544715447,116.5,581.58400519,98.0,98.885020937,8.9,11.843971631,10.510948905,1.6312056738,0.4255319149,86.04859335,7820,30.6,0
01015,Alabama,Calhoun,2340.0,11326.677257,23.66105737,4.8950277497,5.683091019,9.3943271486,21.234317808,39.7,6.6,31.1,47.721215801,13.720263499,16.0,106.0,15.094339623,683.0,595.3,32.317142966,10166.0,11.103829434,73.0,63.87987,1565:1,77.0,67.77871,1475:1,139.0,122.35377,817:1,5879.0,33.0,40.0,66793,79108,84.432674319,16959,28823,58.838427645,1635.0,46209.0,3.5382717652,24.6,4.8434110137,7506.0,24756.0,30.319922443,163,14.263587599,871.0,756.06654427,527.0,91.99760492,10.8,12.594235033,10.656753408,1.6075388027,0.8203991131,84.375198593,47207,30.9,0
01017,Alabama,Chambers,635.0,10371.422676,25.073923371,5.0273498783,5.4699221658,12.66836549,23.216156424,42.3,6.7,28.7,61.864679234,13.670486494,11.0,37.0,29.72972973,240.0,711.9,42.288174689,3092.0,11.610529083,14.0,41.64807,2401:1,6.0,18.04294,5542:1,1.0,3.00716,33254:1,5784.0,36.0,43.0,19417,23789,81.621757955,3966,7964,49.799095932,462.0,15748.0,2.9337058674,30.4,4.7985125858,2408.0,7065.0,34.083510262,61,18.146660717,180.5,528.99973623,154.0,91.368630894,10.2,14.859437751,11.398653702,3.2785688207,1.2413289522,86.211456811,14367,29.6,0
01019,Alabama,Cherokee,571.0,11736.51381,22.88776803,4.9099552246,5.5674130978,8.4951456311,23.559697438,38.4,7.7,30.4,33.429527877,15.94083244,11.0,50.0,22.0,100.0,386.7,32.679738562,2682.0,13.482807159,10.0,38.41426,2603:1,4.0,15.26951,6549:1,6.0,22.90426,4366:1,5178.0,35.0,50.0,15396,18874,81.572533644,2576,5366,48.005963474,338.0,11604.0,2.9127886936,23.3,4.8313336012,1105.0,5245.0,21.067683508,22,8.4511370621,86.0,330.43879198,137.0,105.65362577,10.3,11.672070403,9.9905749293,1.5748031496,0.6484483557,82.078053725,9865,45.8,0
