state,city,standard_score,flex_score,total_mei
AL,auburn,21,2,23
AL,birmingham,94,8,100
AL,florence,0,0,0
AL,hoover,12,0,12
AL,huntsville,20,0,20
AL,mobile,17,2,19
AL,montgomery,36,4,40
AL,tuscaloosa,22,2,24
AK,anchorage,88,4,92
AK,fairbanks,32,2,34
AK,homer,5,2,7
AK,juneau,84,4,88
AK,ketchikan,38,0,38
AK,sitka,36,0,36
AK,wasilla,12,0,12
AZ,avondale,37,1,38
AZ,chandler,66,0,66
AZ,flagstaff,81,7,88
AZ,gilbert,68,7,75
AZ,glendale,70,2,72
AZ,mesa,64,0,64
AZ,peoria,46,9,55
AZ,phoenix,98,11,100
AZ,scottsdale,69,11,80
AZ,tempe,100,9,100
AZ,tucson,93,11,100
AR,conway,16,0,16
AR,eureka springs,60,3,63
AR,fayetteville,39,5,44
AR,fort smith,19,2,21
AR,jonesboro,0,0,0
AR,little rock,61,5,66
AR,north little rock,15,0,15
AR,springdale,19,0,19
CA,anaheim,78,9,87
CA,bakersfield,54,4,58
CA,berkeley,93,13,100
CA,brisbane,49,4,53
CA,cathedral city,81,19,100
CA,chula vista,89,11,100
CA,concord,69,12,81
CA,corona,55,4,59
CA,elk grove,78,4,82
CA,escondido,55,5,60
CA,fontana,55,4,59
CA,fremont,81,9,90
CA,fresno,50,5,55
CA,fullerton,73,6,79
CA,garden grove,49,4,53
CA,glendale,65,5,70
CA,guerneville (sonoma county),81,13,94
CA,hayward,75,4,79
CA,huntington beach,54,4,59
CA,irvine,84,9,93
CA,lancaster,73,4,77
CA,long beach,100,11,100
CA,los angeles,93,15,100
CA,modesto,55,5,60
CA,moreno valley,56,4,60
CA,oakland,94,15,100
CA,oceanside,90,14,100
CA,ontario,48,4,52
CA,orange,67,4,71
CA,oxnard,54,4,58
CA,palm desert,83,11,94
CA,palm springs,98,19,100
CA,palmdale,71,5,76
CA,pasadena,84,9,93
CA,pomona,68,4,72
CA,rancho cucamonga,62,6,68
CA,rancho mirage,87,16,100
CA,richmond,90,4,94
CA,riverside,94,7,100
CA,sacramento,91,17,100
CA,salinas,60,4,64
CA,san bernardino,49,4,53
CA,san diego,100,11,100
CA,san francisco,100,17,100
CA,san jose,93,4,97
CA,santa ana,57,4,61
CA,santa clarita,70,4,74
CA,santa monica,98,7,100
CA,santa rosa,71,7,78
CA,signal hill,80,16,96
CA,stockton,67,4,71
CA,sunnyvale,80,9,89
CA,thousand oaks,63,5,68
CA,torrance,54,4,58
CA,vallejo,77,4,81
CA,visalia,58,4,62
CA,west hollywood,98,17,100
CO,aspen,57,4,61
CO,aurora,69,5,74
CO,boulder,96,14,100
CO,colorado springs,58,3,61
CO,denver,98,9,100
CO,fort collins,88,7,95
CO,lakewood,56,2,58
CO,littleton,49,2,51
CT,bridgeport,40,2,42
CT,fairfield,44,2,46
CT,hartford,89,10,99
CT,new britain,65,6,71
CT,new haven,79,4,83
CT,norwalk,92,14,100
CT,stamford,94,6,100
CT,storrs (mansfield),55,6,61
CT,waterbury,63,4,67
DE,bethany beach,35,2,37
DE,dover,52,2,54
DE,middletown,28,2,30
DE,milford,67,2,69
DE,newark,54,2,56
DE,rehoboth beach,54,4,58
DE,smyrna,40,3,43
DE,wilmington,83,5,88
FL,cape coral,48,1,49
FL,coral gables,90,1,91
FL,daytona beach,30,0,30
FL,fort lauderdale,100,10,100
FL,gainesville,88,7,95
FL,hialeah,40,0,40
FL,hollywood,80,3,83
FL,jacksonville,81,0,81
FL,miami,70,5,75
FL,miami shores,81,1,82
FL,oakland park,90,9,99
FL,orlando,98,17,100
FL,pembroke pines,70,3,73
FL,port saint lucie,53,0,53
FL,st. petersburg,97,14,100
FL,tallahassee,92,14,100
FL,tampa,98,16,100
FL,wilton manors,96,18,100
GA,athens-clarke county,24,5,29
GA,atlanta,100,9,100
GA,augusta-richmond county,28,0,28
GA,avondale estates,18,0,18
GA,columbus,61,2,63
GA,decatur,86,0,86
GA,north druid hills (dekalb county),7,0,7
GA,roswell,5,0,5
GA,sandy springs,21,0,21
GA,savannah,75,3,78
HI,hawaii county,50,2,52
HI,honolulu county,58,2,60
HI,kalawao county,33,2,35
HI,kauai county,30,2,32
HI,maui county,66,4,70
ID,boise,75,0,75
ID,coeur d’alene,66,0,66
ID,idaho falls,58,0,58
ID,meridian,50,0,50
ID,moscow,68,1,69
ID,nampa,18,0,18
ID,pocatello,71,0,71
IL,aurora,77,6,83
IL,carbondale,45,4,49
IL,champaign,75,9,84
IL,chicago,93,11,100
IL,joliet,61,4,65
IL,naperville,66,4,70
IL,peoria,68,6,74
IL,rockford,77,4,81
IL,springfield,63,5,68
IN,bloomington,100,6,100
IN,evansville,80,2,82
IN,fort wayne,40,0,40
IN,hammond,71,0,71
IN,indianapolis,86,3,89
IN,muncie,69,0,69
IN,south bend,75,0,75
IN,terre haute,90,0,90
IN,west lafayette,85,0,85
IA,ames,82,6,88
IA,cedar rapids,100,2,100
IA,davenport,80,4,84
IA,des moines,88,0,88
IA,dubuque,95,5,100
IA,iowa city,100,12,100
IA,sioux city,55,2,57
IA,waterloo,59,0,59
IA,west des moines,94,5,99
ME,auburn,34,4,38
ME,augusta,46,6,52
ME,bangor,40,7,47
ME,brunswick,33,6,39
ME,lewiston,52,4,56
ME,orono,26,6,32
ME,portland,89,5,94
ME,scarborough,54,7,61
ME,south portland,54,4,58
MD,annapolis,80,4,84
MD,baltimore,94,6,100
MD,bowie,56,4,60
MD,college park,92,9,100
MD,columbia (howard county),90,12,100
MD,frederick,96,4,100
MD,gaithersburg,87,6,93
MD,hagerstown,66,2,68
MD,rockville,100,10,100
MD,towson (baltimore county),82,4,86
MA,amherst,71,7,78
MA,arlington,92,8,100
MA,boston,100,8,100
MA,cambridge,100,14,100
MA,lowell,48,2,50
MA,northampton,94,10,100
MA,provincetown,94,8,100
MA,salem,100,2,100
MA,springfield,68,6,74
MA,worcester,99,4,100
MI,ann arbor,100,5,100
MI,detroit,95,11,100
MI,east lansing,98,6,100
