location_name,state,calc_overall_score,FIPS
new york,NY,32,36061
los angeles,CA,33,06037
chicago,IL,24,17031
houston,TX,48,48201
phoenix,AZ,39,04013
las vegas,NV,51,32003
philadelphia,PA,46,42063
san antonio,TX,57,48029
san diego,CA,48,06073
dallas,TX,45,48113
suffolk,NY,43,36103
miami-dade,FL,44,12086
fairfax,VA,52,51059
nassau,NY,39,36059
san jose,CA,46,06085
montgomery,MD,51,24031
honolulu,HI,57,15003
austin,TX,37,48453
charlotte,NC,63,37119
fort worth,TX,43,48439
columbus,OH,42,39049
san francisco,CA,30,06075
indianapolis,IN,43,18097
baltimore,MD,47,24005
gwinnettt,GA,49,13135
seattle,WA,35,53033
denver,CO,45,08031
washington,DC,33,11001
prince george's,MD,34,24033
boston,MA,37,25025
el paso,TX,63,48141
nashville,TN,48,47037
louisville,KY,54,21111
detroit,MI,47,26163
portland,OR,49,41051
oklahoma city,OK,47,40109
memphis,TN,42,47157
baltimore,MD,33,24510
milwaukee,WI,40,55079
cobb county,GA,52,13067
albuquerque,NM,39,35001
tucson,AZ,45,04019
anne arundel,MD,64,24003
fresno,CA,53,06019
dekalb county,GA,42,13089
sacramento,CA,48,06067
mesa,AZ,43,04013
atlanta,GA,30,13121
kansas city,MO,28,29095
raleigh,NC,62,37183
miami,FL,41,12086
colorado springs,CO,49,08041
long beach,CA,27,06037
omaha,NE,48,31055
prince william,VA,58,51153
virginia beach,VA,53,51810
oakland,CA,38,06001
minneapolis,MN,34,27053
new castle,DE,61,10003
st. louis,MO,52,29189
tulsa,OK,38,40143
arlington,TX,38,48439
new orleans,LA,46,22071
tampa,FL,39,12057
wichita,KS,42,20173
bakersfield,CA,43,06029
cleveland,OH,34,39035
aurora,CO,44,08005
anaheim,CA,42,06059
chesterfield,VA,56,51041
santa ana,CA,36,06059
riverside,CA,54,06065
henrico,VA,53,51087
corpus christi,TX,49,48355
lexington,KY,53,21067
howard county,MD,55,24027
salt lake,UT,50,49035
stockton,CA,50,06077
st. paul,MN,47,27123
henderson,NV,54,32003
st. louis,MO,29,29510
pittsburgh,PA,43,42003
cincinnati,OH,49,39061
greensboro,NC,51,37081
anchorage,AK,47,02020
plano,TX,53,48085
lincoln,NE,53,31109
irvine,CA,61,06059
orlando,FL,37,12095
newark,NJ,42,34013
toledo,OH,52,39095
chula vista,CA,61,06073
durham,NC,51,37063
jersey city,NJ,33,34017
fort wayne,IN,41,18003
st. petersburg,FL,40,12103
laredo,TX,55,48479
horry county,SC,58,45051
madison,WI,49,55025
buffalo,NY,41,36029
lubbock,TX,47,48303
chandler,AZ,61,04013
scottsdale,AZ,41,04013
reno,NV,40,32031
glendale,AZ,55,04013
gilbert,AZ,54,04013
north las vegas,NV,43,32003
winston-salem,NC,44,37067
mobile,AL,52,01097
norfolk,VA,39,51710
irving,TX,57,48113
chesapeake,VA,56,51550
savannah,GA,40,13051
hialeah,FL,46,12086
garland,TX,57,48113
arlington,VA,50,51013
fremont,CA,45,06001
clayton,GA,48,13063
richmond,VA,31,51760
boise,ID,53,16001
baton rouge,LA,35,22033
des moines,IA,45,19153
spokane,WA,43,53063
san bernardino,CA,44,06071
modesto,CA,45,06099
tacoma,WA,40,53053
fontana,CA,60,06071
oxnard,CA,51,06111
birmingham,AL,43,01073
fayetteville,NC,51,37051
rochester,NY,35,36055
glendale,CA,41,06037
huntington beach,CA,46,06059
yonkers,NY,39,36119
salt lake city,UT,30,49035
aurora,IL,43,17089
amarillo,TX,38,48375
grand rapids,MI,46,26081
hawaii,HI,43,15001
little rock,AR,39,05119
montgomery,AL,47,01101
akron,OH,40,39153
huntsville,AL,46,01089
grand prairie,TX,46,48113
columbus,GA,43,13215
port st. lucie,FL,61,12111
tallahassee,FL,44,12073
shreveport,LA,41,22017
mckinney,TX,59,48085
henry county,GA,56,13151
knoxville,TN,44,47093
tempe,AZ,30,04013
frisco,TX,60,48085
cape coral,FL,58,12071
worcester,MA,54,25027
brownsville,TX,52,48061
fort lauderdale,FL,25,12011
chattanooga,TN,47,47065
sioux falls,SD,42,46099
providence,RI,39,44007
newport news,VA,43,51700
vancouver,WA,39,53011
ontario,CA,42,06071
oceanside,CA,47,06073
santa rosa,CA,52,06097
garden grove,CA,53,06059
elk grove,CA,62,06067
pembroke pines,FL,52,12011
salem,OR,52,41047
eugene,OR,38,41039
cary,NC,61,37183
peoria,AZ,55,04013
corona,CA,49,06065
springfield,MO,41,29077
fort collins,CO,51,08069
maui,HI,47,15009
jackson,MS,44,28049
hayward,CA,45,06001
alexandria,VA,42,51510
salinas,CA,43,06053
lakewood,CO,40,08059
clarksville,TN,51,47125
sunnyvale,CA,43,06085
hollywood,FL,39,12011
springfield,MA,44,25013
pasadena,TX,41,48201
pomona,CA,45,06037
kansas city,KS,37,20209
escondido,CA,57,06073
killeen,TX,45,48027
torrance,CA,46,06037
bellevue,WA,53,53033
paterson,NJ,46,34031
bridgeport,CT,44,09001
rockford,IL,37,17201
mesquite,TX,54,48113
mcallen,TX,45,48215
pasadena,CA,39,06037
syracuse,NY,30,36067
miramar,FL,48,12011
fullerton,CA,52,06059
orange,CA,47,06059
murfreesboro,TN,50,47149
dayton,OH,47,39113
midland,TX,44,48329
thornton,CO,44,08001
denton,TX,52,48121
carrollton,TX,49,48113
waco,TX,44,48309
roseville,CA,63,06061
west valley,UT,54,49035
charleston,SC,40,45019
surprise,AZ,56,04013
warren,MI,50,26099
coral springs,FL,53,12011
visalia,CA,49,06107
hampton,VA,55,51650
columbia,SC,45,45079
gainesville,FL,47,12001
sterling heights,MI,49,26099
cedar rapids,IA,42,19113
stamford,CT,44,09001
new haven,CT,42,09009
concord,CA,43,06013
kent,WA,40,53033
elizabeth,NJ,39,34039
santa clara,CA,40,06085
lafayette,LA,40,22055
round rock,TX,55,48491
simi valley,CA,52,06111
clarke,GA,46,13059
fargo,ND,57,38017
norman,OK,50,40027
pearland,TX,52,48039
berkeley,CA,41,06001
columbia,MO,42,29019
hartford,CT,44,09003
vallejo,CA,39,06095
ann arbor,MI,51,26161
abilene,TX,46,48441
allentown,PA,45,42077
amherst,NY,53,36029
wilmington,NC,44,37129
arvada,CO,44,08059
odessa,TX,48,48135
richardson,TX,49,48113
beaumont,TX,47,48245
evansville,IN,41,18163
provo,UT,54,49049
fairfield,CA,39,06095
lansing,MI,44,26065
independence,MO,36,29095
rochester,MN,62,27109
carlsbad,CA,55,06073
college station,TX,54,48041
clearwater,FL,37,12103
el monte,CA,45,06037
west jordan,UT,48,49035
cambridge,MA,53,25017
murrieta,CA,54,06065
miami gardens,FL,42,12086
costa mesa,CA,57,06059
westminster,CO,43,08001
downey,CA,57,06037
elgin,IL,43,17089
antioch,CA,45,06013
palm bay,FL,49,12009
north charleston,SC,47,45019
peoria,IL,40,17143
high point,NC,50,37081
lowell,MA,52,25017
gresham,OR,46,41051
clovis,CA,45,06019
pueblo,CO,37,08101
west palm beach,FL,35,12099
centennial,CO,51,08005
manchester,NH,49,33011
ventura,CA,48,06111
everett,WA,48,53061
richmond,CA,38,06013
inglewood,CA,39,06037
billings,MT,37,30111
broken arrow,OK,54,40143
lakeland,FL,40,12105
hillsboro,OR,51,41067
albemarle,VA,55,51003
sandy springs,GA,53,13121
boulder,CO,38,08013
waterbury,CT,40,09009
league city,TX,50,48167
santa maria,CA,49,06083
daly city,CA,56,06081
west covina,CA,50,06037
lewisville,TX,49,48121
greeley,CO,48,08123
davie,FL,48,12011
tyler,TX,40,48423
san mateo,CA,51,06081
green bay,WI,35,55009
burbank,CA,46,06037
wichita falls,TX,42,48485
el cajon,CA,45,06073
rialto,CA,46,06071
meridian,ID,53,16001
allen,TX,51,48085
lakewood,NJ,57,34029
renton,WA,45,53033
davenport,IA,39,19163
south bend,IN,48,18141
sparks,NV,51,32031
las cruces,NM,40,35013
tuscaloosa,AL,43,01125
edison,NJ,48,34023
clinton,MI,61,26099
vacaville,CA,46,06095
san angelo,TX,42,48451
woodbridge,NJ,50,34023
boca raton,FL,45,12099
roanoke,VA,48,51770
kenosha,WI,41,55059
orem,UT,55,49049
spokane valley,WA,56,53063
beaverton,OR,44,41067
albany,NY,38,36001
lawrence,KS,41,20045
lee's summit,MO,53,29095
federal way,WA,47,53033
bend,OR,47,41017
rio rancho,NM,51,35043
sandy,UT,45,49035
erie,PA,43,42049
greece,NY,58,36055
yuma,AZ,41,04027
brockton,MA,47,25023
sunrise,FL,45,12011
flint,MI,46,26049
south gate,CA,44,06037
